timestamp,power,appliance1,appliance2,appliance3,appliance5,appliance7
1649696087,286.31,0,286.31,0.0,0.0,0.0
1649696092,288.36,0,288.36,0.0,0.0,0.0
1649696098,287.19,0,287.19,0.0,0.0,0.0
1649696103,287.08,0,287.08,0.0,0.0,0.0
1649696109,287.46,0,287.46,0.0,0.0,0.0
1649696114,287.55,0,287.55,0.0,0.0,0.0
1649696120,287.48,0,287.48,0.0,0.0,0.0
1649696125,286.62,0,286.62,0.0,0.0,0.0
1649696131,286.16,0,286.16,0.0,0.0,0.0
1649696136,287.05,0,287.05,0.0,0.0,0.0
1649696142,286.54,0,286.54,0.0,0.0,0.0
1649696147,288.05,0,288.05,0.0,0.0,0.0
1649696153,287.45,0,287.45,0.0,0.0,0.0
1649696158,287.57,0,287.57,0.0,0.0,0.0
1649696164,287.22,0,287.22,0.0,0.0,0.0
1649696170,287.72,0,287.72,0.0,0.0,0.0
1649696175,287.70,0,287.7,0.0,0.0,0.0
1649696181,287.81,0,287.81,0.0,0.0,0.0
1649696186,292.29,0,292.29,0.0,0.0,0.0
1649696192,289.15,0,289.15,0.0,0.0,0.0
1649696197,287.00,0,287.0,0.0,0.0,0.0
1649696203,287.06,0,287.06,0.0,0.0,0.0
1649696208,287.73,0,287.73,0.0,0.0,0.0
1649696214,288.84,0,288.84,0.0,0.0,0.0
1649696219,288.60,0,288.6,0.0,0.0,0.0
1649696225,289.19,0,289.19,0.0,0.0,0.0
1649696230,288.82,0,288.82,0.0,0.0,0.0
1649696236,287.31,0,287.31,0.0,0.0,0.0
1649696241,286.44,0,286.44,0.0,0.0,0.0
1649696247,284.94,0,284.94,0.0,0.0,0.0
1649696252,285.15,0,285.15,0.0,0.0,0.0
1649696258,283.81,0,283.81,0.0,0.0,0.0
1649696263,283.59,0,283.59,0.0,0.0,0.0
1649696269,284.80,0,284.8,0.0,0.0,0.0
1649696275,285.05,0,285.05,0.0,0.0,0.0
1649696280,285.16,0,285.16,0.0,0.0,0.0
1649696286,285.41,0,285.41,0.0,0.0,0.0
1649696291,285.25,0,285.25,0.0,0.0,0.0
1649696297,286.10,0,286.1,0.0,0.0,0.0
1649696302,315.76,0,315.76,0.0,0.0,0.0
1649696308,306.24,0,306.24,0.0,0.0,0.0
1649696313,292.46,0,292.46,0.0,0.0,0.0
1649696319,285.57,0,285.57,0.0,0.0,0.0
1649696324,286.43,0,286.43,0.0,0.0,0.0
1649696330,292.08,0,292.08,0.0,0.0,0.0
1649696335,311.46,0,311.46,0.0,0.0,0.0
1649696341,300.23,0,300.23,0.0,0.0,0.0
1649696347,295.81,0,295.81,0.0,0.0,0.0
1649696352,294.47,0,294.47,0.0,0.0,0.0
1649696358,291.96,0,291.96,0.0,0.0,0.0
1649696363,291.91,0,291.91,0.0,0.0,0.0
1649696369,293.49,0,293.49,0.0,0.0,0.0
1649696374,295.62,0,295.62,0.0,0.0,0.0
1649696380,296.34,0,296.34,0.0,0.0,0.0
1649696385,288.07,0,288.07,0.0,0.0,0.0
1649696391,287.68,0,287.68,0.0,0.0,0.0
1649696396,292.94,0,292.94,0.0,0.0,0.0
1649696402,286.95,0,286.95,0.0,0.0,0.0
1649696407,287.11,0,287.11,0.0,0.0,0.0
1649696413,286.90,0,286.9,0.0,0.0,0.0
1649696418,289.47,0,289.47,0.0,0.0,0.0
1649696424,299.64,0,299.64,0.0,0.0,0.0
1649696430,285.08,0,285.08,0.0,0.0,0.0
1649696435,279.96,0,279.96,0.0,0.0,0.0
1649696441,274.96,0,274.96,0.0,0.0,0.0
1649696446,280.85,0,280.85,0.0,0.0,0.0
1649696452,283.51,0,283.51,0.0,0.0,0.0
1649696457,296.37,0,296.37,0.0,0.0,0.0
1649696463,289.61,0,289.61,0.0,0.0,0.0
1649696468,286.96,0,286.96,0.0,0.0,0.0
1649696474,285.81,0,285.81,0.0,0.0,0.0
1649696480,284.64,0,284.64,0.0,0.0,0.0
1649696485,286.56,0,286.56,0.0,0.0,0.0
1649696491,285.89,0,285.89,0.0,0.0,0.0
1649696496,284.92,0,284.92,0.0,0.0,0.0
1649696502,285.28,0,285.28,0.0,0.0,0.0
1649696507,285.30,0,285.3,0.0,0.0,0.0
1649696513,285.40,0,285.4,0.0,0.0,0.0
1649696518,288.22,0,288.22,0.0,0.0,0.0
1649696524,288.48,0,288.48,0.0,0.0,0.0
